#{"t_start": 1663070257.9762409, "env_id": null}
r,l,t
-22.522898,25,4.408705
-20.313473,25,5.000675
-18.208489,25,5.069648
-10.789964,25,5.080457
-17.567524,25,5.091224
-13.614477,25,9.141762
-13.670005,25,9.152567
-16.547823,25,9.163243
-15.125798,25,9.690461
-2.587956,6,9.7471
-1.445626,6,13.788144
-2.577903,6,13.791116
-7.826868,25,13.802645
-12.803682,25,13.813517
-7.011878,25,13.824225
-7.207967,25,17.894358
-9.903884,25,17.905314
-9.552584,25,17.916027
-10.978702,25,17.926756
-9.833656,25,17.937388
-9.585904,25,22.004715
-7.959669,25,22.015532
-8.104755,25,22.026224
-9.684096,25,22.036909
-0.791874,6,22.039705
-8.367585,25,26.120521
-0.137097,6,26.123402
-5.153427,25,26.649668
-1.002049,6,26.70926
-1.354381,6,26.712157
-4.752663,25,30.793746
-0.194356,6,30.796649
-2.191076,6,30.799463
-3.675969,25,30.810188
-7.014339,25,30.820884
-6.584272,25,34.910383
-7.424751,25,34.921299
-5.32098,25,34.93198
-5.903305,25,34.94266
-1.033005,6,34.945471
-5.475174,25,39.03538
-4.933906,25,39.047354
-5.284983,25,39.058386
-0.011851,6,39.061222
-5.429537,25,39.071938
-7.942588,25,43.153797
-4.614288,25,43.164865
-4.417098,25,43.175671
-4.997031,25,43.186395
-4.627177,25,43.197133
-3.526248,25,47.270723
-6.201518,25,47.281602
-0.312614,6,47.28445
-5.804615,25,47.295178
-3.831986,25,47.305863
-5.817531,25,51.380217
-5.903206,25,51.391023
-1.821051,6,51.393834
-7.530812,25,51.404539
-6.737623,25,51.415185
-1.125293,6,55.478109
-4.18015,25,55.48893
0.14188,6,55.491743
-9.410063,25,55.502401
-2.893757,25,56.035843
-7.342956,25,60.194755
-2.185585,6,60.197653
-8.856216,25,60.208396
-6.062075,25,60.219101
-9.066175,25,60.229811
-3.706602,25,64.303632
-5.526072,25,64.314579
-4.790774,25,64.325375
-2.469614,25,64.336103
-8.926784,25,64.346782
-4.788865,25,68.445779
-2.700827,6,68.448707
0.09238,6,68.473063
