#{"t_start": 1663069028.405675, "env_id": null}
r,l,t
-24.451139,25,5.595438
-23.305339,25,6.177352
-18.819644,25,6.243253
-18.408187,25,6.254074
-19.183652,25,6.264827
-20.596057,25,10.282234
-17.835529,25,10.293117
-16.743409,25,10.30389
-17.588694,25,10.825403
-17.0223,25,10.895238
-11.818325,25,14.905716
-11.887967,25,14.916608
-11.034277,25,14.927405
-11.462104,25,14.938208
-12.409236,25,14.948954
-12.636428,20,19.114569
-10.366202,25,19.125375
-12.807333,25,19.136086
-8.808538,25,19.146801
-9.863873,25,19.157511
-0.992084,6,23.517905
-7.223405,25,23.530371
0.295799,6,23.533809
-5.46101,25,23.545886
-12.852465,25,23.557869
-7.534117,25,27.795554
-0.826436,6,27.798463
-7.040867,25,28.346328
-5.171533,25,28.415389
-4.756277,25,28.426278
-3.578439,25,32.518584
-6.449507,25,32.529366
-4.813886,25,32.540092
-6.519139,25,32.550781
-1.183253,6,32.55359
-6.946597,25,36.58835
-1.93603,6,36.591355
-11.254958,25,36.602148
-1.371619,6,36.604982
-3.137393,25,36.615678
-9.090679,25,40.633659
-3.153127,25,40.644474
-6.82912,25,40.655164
-2.564525,25,40.665887
-3.794026,25,40.676564
-6.679982,25,44.71507
-4.429967,25,44.72586
-3.837719,25,44.736549
-3.166548,25,44.74724
-6.029821,25,44.757896
-4.124169,25,48.808929
-5.756594,25,48.819714
-0.463197,6,48.822523
-3.862076,25,48.833209
-5.626374,25,48.843882
-4.936924,25,52.881727
-1.522878,6,52.884854
-10.092354,25,52.895733
-4.105438,25,52.906468
-0.622083,6,52.909289
0.429558,6,56.976773
-6.624963,25,56.988936
-5.498855,25,56.999728
-4.488849,25,57.01047
-4.461549,25,57.542356
-0.446718,6,61.659515
-3.744565,25,61.67106
-4.836173,25,61.681968
-5.819986,25,61.692693
-5.335368,25,61.703369
-1.675443,6,65.749164
-5.666674,25,65.760008
-3.613428,25,65.770703
-6.560233,25,65.781391
-3.100553,25,65.792086
-1.649892,25,69.843092
-4.257076,25,69.853881
-9.303947,25,69.864604
-3.902936,25,69.87528
-7.581709,25,69.885944
-0.580547,6,73.926878
-4.440741,25,73.938516
-3.987485,25,73.949408
-2.540033,25,73.960175
-1.852095,6,73.963003
-1.646283,6,77.99578
-1.653904,6,77.998715
-1.593633,6,78.001539
-7.520525,25,78.012285
-6.360601,25,78.022958
0.32225,6,82.067655
-4.565353,25,82.079231
-3.905177,25,82.090134
-0.896076,6,82.092963
-1.820412,6,82.095781
-2.515842,25,86.14761
-2.232887,25,86.158582
-1.805202,25,86.169325
-6.285298,25,86.180008
-4.605779,25,86.190663
-2.988428,25,90.231247
-5.439262,25,90.242199
-8.305481,25,90.252915
-0.953023,6,90.255733
-0.3744,6,90.258527
-4.5643,25,94.311895
-0.116552,6,94.314849
-6.693505,25,94.32584
-0.109854,6,94.32872
-6.803907,25,94.339672
-4.999488,25,98.381445
-7.042836,25,98.392365
-4.660267,25,98.403078
-3.746409,25,98.41372
-11.529631,25,98.424346
0.256748,6,102.475364
-1.420868,6,102.478315
-5.202767,25,102.489071
-0.75121,7,102.492315
-3.961807,25,102.50302
-4.334432,25,106.535205
-3.584175,25,106.546
-3.595028,25,106.556725
0.10752,6,106.559531
-3.383357,25,106.570203
-0.359024,6,110.758912
-3.121877,25,110.807564
-2.9413,25,110.818342
0.359815,6,110.821153
-10.971775,25,110.831864
-5.372555,25,114.884133
-1.292394,6,114.887114
-0.630822,6,114.889947
-2.651942,25,114.90068
-0.041476,6,114.903484
-0.583596,6,118.939453
-0.576314,6,118.942385
-0.944489,6,118.945273
-7.786255,25,118.956827
-3.594913,25,118.967719
-0.576106,6,123.002587
-3.126633,25,123.013679
-2.205238,6,123.016554
-1.573007,25,123.027481
-7.680462,25,123.038414
-2.030022,25,127.075684
-1.210044,6,127.078639
-1.321014,25,127.089584
-0.478786,6,127.092458
-1.542868,6,127.095337
-8.094552,25,131.142862
-5.580176,25,131.153885
-0.65188,6,131.156765
-3.687586,25,131.167672
-0.013794,6,131.170556
-1.698694,6,135.208237
-4.239082,25,135.219352
-0.657681,6,135.222279
-0.627229,6,135.225162
-6.823952,25,135.23611
