#{"t_start": 1663019179.92034, "env_id": null}
r,l,t
-18.217588,25,4.563681
-22.742138,25,5.12811
-18.136844,25,5.19504
-15.284979,25,5.205972
-17.687314,25,5.21683
-18.287401,25,9.087026
-12.031162,25,9.099102
-19.171945,25,9.110334
-20.55283,25,9.665894
-12.940745,25,9.735055
-14.545143,25,13.596404
-14.144265,25,13.607482
-2.398869,6,13.610342
-18.371822,25,13.621137
-11.511462,25,13.631961
-6.631048,25,17.525143
-5.289554,25,17.561903
-10.526265,25,17.573852
-8.931896,25,17.58482
-8.110213,25,17.595843
-8.905863,25,21.796646
-10.377499,25,21.80872
-2.003323,25,21.821189
-6.38747,25,21.833288
-6.719666,25,21.8451
-7.101323,25,25.630872
-2.87769,25,25.641819
-8.787527,25,26.18721
-5.721968,25,26.255318
-7.886159,25,26.266247
-6.070951,25,30.020114
-6.271561,25,30.030956
-2.221263,6,30.033848
-8.761639,25,30.044682
-7.452121,25,30.055444
-5.837465,25,33.792206
-2.583559,25,33.803133
-10.58966,25,33.814019
-0.468402,6,33.816847
-3.058838,25,33.827604
-7.751951,25,37.906343
-2.931578,25,37.917158
-4.687048,25,37.927871
-8.174675,25,37.938594
-6.209756,25,37.949245
-8.595,25,42.20754
-3.742538,25,42.218438
-1.646372,6,42.221525
-7.751989,25,42.232399
-6.4106,25,42.24319
-2.334421,6,46.207294
-7.5764,25,46.219145
-5.182029,25,46.231126
-5.598068,25,46.242284
-4.463532,25,46.25384
-3.076282,25,50.201645
-3.389792,25,50.212667
-3.892544,25,50.223512
-3.662757,25,50.234327
-1.888648,25,50.245171
-2.180857,25,54.237387
-1.586793,6,54.240296
-1.681191,25,54.251573
-4.624454,25,54.26277
-4.091871,25,54.768061
-0.94481,25,58.62341
-4.412537,25,58.635455
-1.950706,25,58.646169
-5.447009,25,58.656862
-6.549484,25,58.667546
-7.037702,25,62.367271
-2.294398,25,62.378099
-3.044159,25,62.388817
-0.278394,6,62.39163
-4.885935,25,62.402333
-0.034106,6,66.089653
-4.339004,25,66.100641
-10.694565,25,66.111431
-10.527033,25,66.122163
-3.299261,25,66.132934
-5.606761,25,69.813488
-5.02576,25,69.824595
-0.410272,6,69.82745
-2.490271,25,69.83826
-0.707091,6,69.841099
-1.35205,25,73.515135
-0.209906,6,73.518175
-1.011094,6,73.521037
-4.360916,25,73.53179
-4.250391,25,73.542478
-6.941007,25,77.235002
-1.358268,25,77.24599
-3.519254,25,77.256724
-0.217304,6,77.259551
-0.327929,6,77.262356
-5.370679,25,80.96236
-5.757217,25,80.973189
0.087389,6,80.976032
-2.773403,25,80.987163
-1.933014,6,80.990027
-3.244535,25,84.93346
-2.215865,8,84.937567
-3.312034,25,84.949638
-1.823033,25,84.961218
-3.428182,25,84.974227
-4.037513,25,89.034016
-3.85992,25,89.044993
-2.842123,25,89.055826
-0.824942,6,89.058659
0.010946,6,89.061562
-2.284439,25,92.943095
-1.856621,25,92.95492
-4.67885,25,92.965795
-7.13224,25,92.976657
-1.79408,25,92.987395
-1.597663,6,96.820742
-8.361688,25,96.831663
-2.969525,25,96.842386
-8.206127,25,96.853077
-6.845688,25,96.863763
-0.442419,6,100.862727
-9.888446,25,100.874341
-0.469023,6,100.877292
-3.533033,25,100.88816
-3.491207,25,100.89892
-0.558865,6,104.881588
-0.415519,6,104.920178
-2.3847,25,104.93106
-4.375038,25,104.941769
-0.653752,6,104.944596
-0.948152,6,108.701535
-2.605798,25,108.712657
-4.130078,25,108.723603
-3.121764,6,108.726439
-1.620607,25,108.737311
-7.129012,25,112.504904
-0.166915,6,112.507972
-7.115262,25,112.518903
-5.856465,25,112.530628
-1.508353,25,112.542162
-1.371075,6,116.371972
-1.340445,25,116.383667
0.067139,6,116.38664
-4.729447,25,116.398388
-7.199553,25,116.432999
-2.14715,6,120.215042
-0.952806,6,120.217991
-3.274572,25,120.229473
0.03304,6,120.23243
-3.410574,25,120.243197
-0.429722,6,124.211681
-0.629181,6,124.214649
-0.35328,6,124.217517
-3.356859,25,124.228494
-0.29283,6,124.231347
-1.751175,25,128.35017
-4.064203,25,128.362526
-2.008393,6,128.365446
-2.845112,25,128.3762
-1.738926,6,128.379025
