#{"t_start": 1663617364.130402, "env_id": null}
r,l,t
-20.178038,25,5.118352
-17.902899,25,5.670411
-16.026124,25,5.739823
-20.786616,25,5.751596
-16.681262,25,5.763289
-10.669562,25,9.854672
-10.759879,25,9.866563
-12.981728,25,9.878278
-14.196798,25,10.379535
-14.69273,25,10.447372
-10.477966,25,14.538525
-12.341393,25,14.55051
-11.985681,25,14.562264
-0.894049,6,14.56536
-11.668404,25,14.577066
-5.788837,25,18.69734
-11.670614,25,18.709187
-6.904973,25,18.720917
-5.566343,25,18.732602
-6.760032,16,18.740205
-11.224066,25,22.852043
-3.556048,12,22.857932
-6.897353,25,22.86965
-6.668938,25,22.881336
-10.48278,25,22.893012
-9.309423,25,26.971016
-1.54682,6,26.974259
-1.559792,7,27.134215
-9.394509,25,27.181931
-7.562775,25,27.193939
-0.379745,6,31.287036
-6.251836,25,31.298905
-0.033417,6,31.301996
-12.237725,25,31.313716
-0.570093,6,31.316792
-5.785384,25,35.413183
-9.453468,25,35.425753
-11.291152,25,35.437505
-11.629951,25,35.449233
-6.290232,25,35.460914
-0.746262,6,39.544862
-3.32856,14,39.551718
-0.931816,6,39.55481
-7.322428,25,39.566508
-6.811776,25,39.578187
-0.155143,6,43.66713
-0.014849,6,43.670323
-1.297591,9,43.674816
-6.687715,20,43.684273
-0.229715,6,43.687355
-0.306884,6,47.761612
-0.69925,6,47.764813
-0.227396,6,47.76823
0.021142,6,47.771707
0.078245,6,47.774851
-0.254481,6,51.857471
-1.712617,6,51.860648
-0.275891,6,51.864059
-0.586109,7,51.867925
-1.719932,6,51.871043
-0.374092,6,55.953517
-0.755794,6,55.956695
-0.72079,6,55.960237
-0.438598,6,55.963588
-0.408447,6,56.152885
-0.709217,6,60.316938
-1.235643,6,60.320148
-1.250278,6,60.323709
0.153567,6,60.327053
-0.723814,6,60.330171
-3.822744,6,64.529227
-2.504396,6,64.532436
-0.202422,6,64.535853
0.026902,6,64.539318
-2.569183,6,64.542441
-0.394047,6,68.673099
-0.501943,6,68.676281
-0.125658,6,68.679854
0.047821,6,68.683179
-3.22008,6,68.686304
-3.55977,6,72.862617
-1.114026,6,72.865832
-0.220069,6,72.86895
-0.433443,6,72.872057
-0.380738,6,72.875149
-2.300213,6,77.042323
-0.217364,6,77.04551
0.036333,6,77.048651
-0.087002,6,77.051746
-0.493662,6,77.054826
-0.43679,6,81.226081
-3.352244,6,81.22927
-1.370398,6,81.232666
-0.200758,6,81.236118
-1.317056,6,81.239245
-0.256625,6,85.432798
-1.136174,6,85.435997
0.144355,6,85.439378
-0.578512,6,85.442842
-2.708394,6,85.44598
-0.226212,6,89.62686
-0.676392,6,89.630049
-2.026238,6,89.633165
-0.01571,6,89.636258
-0.001495,6,89.639367
-0.870274,6,93.856451
-0.252717,6,93.859631
-0.038372,6,93.862762
0.108074,6,93.865912
-0.267385,6,93.869061
-0.884055,6,98.064869
-0.492725,6,98.068096
-0.801578,6,98.071221
0.206378,6,98.074314
0.000323,6,98.077392
0.380121,6,102.26049
0.075575,6,102.263727
-0.581662,6,102.267375
0.136652,6,102.270714
-0.067731,6,102.27384
-0.041646,6,106.448378
-1.021734,6,106.451562
-0.745671,6,106.454893
0.063668,6,106.458368
0.062244,6,106.461503
-2.567752,6,110.831484
-2.569632,6,110.871519
-0.039273,6,110.874635
-0.361875,6,110.878197
-0.191013,6,110.881553
-1.10532,6,115.121748
0.320535,6,115.125
0.039749,6,115.128183
-1.772119,6,115.131333
-2.935765,6,115.134479
0.419843,6,119.313464
-2.841038,6,119.316728
0.234214,6,119.320366
-2.143329,6,119.32368
-1.794978,6,119.326816
-1.894017,6,123.518259
0.371312,6,123.521491
0.402852,6,123.524638
0.160817,6,123.527767
-2.668084,6,123.530882
0.554503,6,127.702082
-0.624479,6,127.705315
0.461128,6,127.708944
0.279458,6,127.712234
-2.014334,6,127.715353
-0.318068,6,131.93735
0.176492,6,131.940624
0.266725,6,131.944237
0.569058,6,131.947561
-2.285862,6,131.950676
-2.510322,6,136.152206
-1.756401,6,136.155457
0.331757,6,136.158621
0.249825,6,136.161766
-1.061535,6,136.164901
0.274551,6,140.376202
-2.166218,6,140.379454
-0.16226,6,140.382642
-0.093302,6,140.385799
0.432649,6,140.388945
-1.792999,6,144.564973
0.50781,6,144.568219
-3.117878,6,144.571715
-2.620792,6,144.575184
-0.419558,6,144.578336
0.035503,6,148.771005
-0.201945,6,148.774234
-0.05662,6,148.777713
0.079922,6,148.781141
0.576665,6,148.784284
-0.016407,6,152.955652
-1.358943,6,152.958895
-1.497726,6,152.962067
0.086488,6,152.965217
0.336325,6,152.968354
-0.328017,6,157.148062
-1.504769,6,157.151317
0.253065,6,157.154911
0.216962,6,157.158357
0.381639,6,157.161527
-2.100047,6,161.387778
-0.372943,6,161.391007
0.290311,6,161.394168
0.072032,6,161.397304
-0.639841,6,161.400426
-1.811199,6,165.631705
-0.073765,6,165.636951
-2.435892,6,165.640129
0.508053,6,165.643267
-2.52213,6,165.646403
-0.07634,6,169.837987
-2.743147,6,169.841245
-2.772827,6,169.844419
-1.382967,6,169.847572
0.098992,6,169.85072
-1.017791,6,174.050821
-2.292794,6,174.054052
0.320647,6,174.057725
-1.188494,6,174.061088
-1.656565,6,174.064269
-0.107455,6,178.276005
0.550144,6,178.279247
-0.174892,6,178.282797
-0.597221,6,178.286212
-2.184622,6,178.289386
-1.635521,6,182.482558
0.558103,6,182.485786
-1.01641,6,182.489286
-0.019554,6,182.492743
-1.22574,6,182.495911
-0.285705,6,186.662641
-0.692308,6,186.85357
-0.806053,6,186.890069
-0.184237,6,186.893291
-1.442774,6,186.89648
-0.757553,6,191.097286
-0.070132,6,191.100535
-0.561127,6,191.103703
0.284614,6,191.106846
-1.973271,6,191.109992
0.208187,6,195.306998
-0.158109,6,195.310227
-1.640316,6,195.313735
-0.572446,6,195.317177
-0.033559,6,195.320356
-1.464427,6,199.520755
-1.170192,6,199.52401
-1.596617,6,199.527656
-2.472111,6,199.53105
-0.760683,6,199.534236
-0.954763,6,203.736389
0.234169,6,203.739664
-0.191146,6,203.742861
0.439435,6,203.746026
-1.227652,6,203.749178
-0.510057,6,207.932742
-3.231454,6,207.936009
-2.317267,6,207.939197
-0.257458,6,207.942345
-0.058384,6,207.945493
0.146106,6,212.155428
-0.517087,6,212.158681
0.124209,6,212.161852
0.58639,6,212.164991
-0.270402,6,212.168116
-1.221893,6,216.37699
0.510201,6,216.380231
-0.133541,6,216.383824
0.350522,6,216.38728
-0.883741,6,216.390486
0.497997,6,220.60612
0.203176,6,220.609378
-0.404954,6,220.612536
0.143109,6,220.615675
0.499105,6,220.618801
0.684065,6,224.824936
0.278816,6,224.828189
0.384291,6,224.831786
0.61608,6,224.835174
-0.672431,6,224.838353
0.52598,6,229.058516
-0.402976,6,229.061759
0.511579,6,229.065245
-0.569611,6,229.068718
-0.973646,6,229.071914
0.620621,6,233.323161
-0.710867,6,233.326444
0.401203,6,233.329707
-3.109419,6,233.332871
